year,ACCESS1-0_historical_r1i1p1-days_tmax_abv,bcc-csm1-1_historical_r1i1p1-days_tmax_abv,BNU-ESM_historical_r1i1p1-days_tmax_abv,CanESM2_historical_r1i1p1-days_tmax_abv,CCSM4_historical_r1i1p1-days_tmax_abv,CESM1-BGC_historical_r1i1p1-days_tmax_abv,CNRM-CM5_historical_r1i1p1-days_tmax_abv,CSIRO-Mk3-6-0_historical_r1i1p1-days_tmax_abv,GFDL-CM3_historical_r1i1p1-days_tmax_abv,GFDL-ESM2G_historical_r1i1p1-days_tmax_abv,GFDL-ESM2M_historical_r1i1p1-days_tmax_abv,inmcm4_historical_r1i1p1-days_tmax_abv,IPSL-CM5A-LR_historical_r1i1p1-days_tmax_abv,IPSL-CM5A-MR_historical_r1i1p1-days_tmax_abv,MIROC-ESM-CHEM_historical_r1i1p1-days_tmax_abv,MIROC-ESM_historical_r1i1p1-days_tmax_abv,MIROC5_historical_r1i1p1-days_tmax_abv,MPI-ESM-LR_historical_r1i1p1-days_tmax_abv,MPI-ESM-MR_historical_r1i1p1-days_tmax_abv,MRI-CGCM3_historical_r1i1p1-days_tmax_abv,NorESM1-M_historical_r1i1p1-days_tmax_abv
1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1951,0.0,0.0034171303,0.0,0.4902127,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.2653456,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0
1952,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0034171303,0.0
1953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15055965,0.0,0.0068342607
1954,0.0,0.0,0.0,0.0068342607,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3881692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09535723,0.0,0.0
1956,0.0,0.0,0.058704212,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44530308,0.0
1957,0.0,0.0,0.0,0.10901643,0.0,0.0,0.10560862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0919401,0.0,0.0,0.0,0.0
1958,0.0,0.0,0.0,0.0,0.0,0.0,0.0068342607,0.0,0.3811963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068342607,0.0
1959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068342607,0.023910593,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.49277356,0.0,0.0,0.0,0.0
1961,0.0,0.0034171303,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.034161985,0.0,0.020493463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962,0.0,0.0,0.0,0.0068342607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79883325,0.0919401,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010251391,0.0,0.0,0.013668521,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0
1964,0.0068342607,0.0,0.0,0.0,0.09877436,0.0,0.3607633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5773738,0.0,0.0
1965,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.1734055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068342607,0.0,0.0,0.0,0.35364527,0.0,0.0
1966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.2425844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0
1968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.102191485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303
1969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10901643,0.0,0.0034171303,0.0
1970,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0068342607,0.0,0.0,0.098689705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.010251391,0.62577546
1972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0068342607,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1974,0.0,0.0034171303,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09877436,0.0,0.0,0.0,0.0034171303,0.291965,0.0,0.0
1975,0.0,0.0,0.0068342607,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.020493463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0
1977,0.0,0.0,0.0,0.0,0.0035651012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051228996,0.0,0.0,0.010251391,0.0034171303,0.0,0.0068342607,0.0
1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0035651012,0.0
